,train,source,dest,dist
712,LTT MANMAD EXP ,LOKMANYATILAK T,MANMAD JN      ,245
713,GUJARAT QUEEN  ,AHMEDABAD JN   ,VALSAD         ,298
714,KCG YPR EXP    ,KACHEGUDA      ,YESVANTPUR JN  ,664
715,NED LTT EXPRESS,H SAHIB NANDED ,LOKMANYATILAK T,733
716,HBJ LTT SUP EXP,HABIBGANJ      ,LOKMANYATILAK T,821
717,ASR DBRG EXPRES,AMRITSAR JN    ,DIBRUGARH      ,2870
718,PUNE AMI EXP   ,PUNE JN        ,AMRAVATI       ,821
719,DANAPUR EXPRESS,HOWRAH JN      ,DANAPUR        ,541
720,CHENNAI RAJDHNI,H NIZAMUDDIN   ,CHENNAI CENTRAL,2175
721,BUNDELKHAND EXP,VARANASI JN    ,GWALIOR        ,624
722,BHUBANESWAR EXP,RAMESWARAM     ,BHUBANESWAR    ,1892
723,JU PURI EXPRESS,JODHPUR JN     ,PURI           ,2433
724,NANDIGRAM  EXP ,NAGPUR         ,MUMBAI CST     ,1139
725,BSB ANVT G RATH,VARANASI JN    ,ANAND VIHAR TRM,781
726,BVC OKHA PASS  ,BHAVNAGAR TRMUS,OKHA           ,538
727,RATNAGIRI PASS ,DADAR          ,RATNAGIRI      ,422
728,UJJAIYANI EXP  ,DEHRADUN       ,UJJAIN JN      ,1245
729,KCG RAL FASTPAS,KACHEGUDA      ,REPALLE        ,347
730,NDLS LKO AC SF ,NEW DELHI      ,LUCKNOW NR     ,493
731,DEE RJT EXP    ,DELHI S ROHILLA,RAJKOT JN      ,1106
732,HAMPI EXP      ,MYSORE JN      ,HUBLI JN       ,688
733,BANGALORE EXP  ,NAGERCOIL JN   ,BANGALORE CY JN,673
734,CAPITAL EXP    ,DANAPUR        ,NEW JALPAIGURI ,501
735,TUTICORIN EXP  ,MYSORE JN      ,TUTICORIN      ,783
736,HW BL SUP EXP  ,HARIDWAR JN    ,VALSAD         ,1433
737,UDZ SHM EXP    ,UDAIPUR CITY   ,SHALIMAR       ,1885
738,LINK EXPRESS   ,DEHRADUN       ,ALLAHABAD JN   ,863
739,KOCHUVELI GR   ,YESVANTPUR JN  ,KOCHUVELI      ,808
740,GHY LTT EXPRESS,GUWAHATI       ,LOKMANYATILAK T,2735
741,PBR MOTIHARI EX,PORBANDAR      ,MUZAFFARPUR JN ,2470
742,ABADH ASSAM EXP,NEW TINSUKIA JN,LALGARH JN     ,3073
743,RPH SDAH EXP   ,RAMPUR HAT     ,SEALDAH        ,226
744,NZM ERS DURONTO,H NIZAMUDDIN   ,ERNAKULAM JN   ,2943
745,CAPITAL EXPRESS,NEW JALPAIGURI ,DANAPUR        ,501
746,SUPER AC EXP   ,TRIVANDRUM CNTL,CHENNAI CENTRAL,895
747,ADI SJ RAJDHANI,NEW DELHI      ,AHMEDABAD JN   ,934
748,MUV MFP EXPRESS,MANDUADIH      ,MUZAFFARPUR JN ,544
749,SAINAGAR DR EXP,SAINAGAR SHIRDI,DADAR          ,336
750,RANCHI EXPRESS ,LOKMANYATILAK T,RANCHI         ,2011
751,MAS ASN EXPRESS,CHENNAI CENTRAL,ASANSOL JN     ,1732
752,NED AWB EXP    ,H SAHIB NANDED ,AURANGABAD     ,237
753,DAKSHIN EXPRESS,H NIZAMUDDIN   ,HYDERABAD DECAN,1670
754,YPR BKN EXP    ,YESVANTPUR JN  ,BIKANER JN     ,2450
755,CDG  PPTA EXP  ,CHANDIGARH     ,PATLIPUTRA     ,1175
756,SPC DELHI PASS ,SITAPUR CITY   ,DELHI          ,409
757,JSM JU SPL     ,JAISALMER      ,JODHPUR JN     ,294
758,SARNATH EXPRESS,DURG           ,CHHAPRA        ,1083
759,KLK SVDK EXPRES,KALKA          ,SHMATA VD KATRA,492
760,HW HWH S F EXP ,HARIDWAR JN    ,HOWRAH JN      ,1536
761,PUNE BSL EXP   ,PUNE JN        ,BHUSAVAL JN    ,548
762,KALKA SIMLA EXP,KALKA          ,SIMLA          ,96
763,S KRANTI SUP EX,RAJENDRANAGAR T,NEW DELHI      ,1001
764,ASR DDN EXPRESS,AMRITSAR JN    ,DEHRADUN       ,463
765,AII KOAA EXP   ,AJMER JN       ,KOLKATA        ,1997
766,MALANI EXP     ,BARMER         ,DELHI          ,829
767,AVADH EXPRESS  ,MUZAFFARPUR JN ,BANDRA TERMINUS,2155
768,GANGASUTLEJ EXP,DHANBAD JN     ,FIROZPUR CANT  ,1599
769,PUNE MMR PASS  ,PUNE JN        ,MANMAD JN      ,313
770,SGNR JAT EXP   ,SHRI GANGANAGAR,JAMMU TAWI     ,549
771,ANDAMAN EXPRESS,JAMMU TAWI     ,CHENNAI CENTRAL,2800
772,PUNE GKP EXPRES,PUNE JN        ,GORAKHPUR JN   ,1750
773,TVC NZM EXPRESS,TRIVANDRUM CNTL,H NIZAMUDDIN   ,3149
774,DUMK RNC EXPRES,DUMKA          ,RANCHI         ,386
775,BSP REWA FST PG,BILASPUR JN    ,REWA           ,466
776,SHM LTT EXPRESS,SHALIMAR       ,LOKMANYATILAK T,1950
777,BSB GARIB RATH ,ANAND VIHAR TRM,VARANASI JN    ,781
778,BSP TATA PASS  ,BILASPUR JN    ,TATANAGAR JN   ,471
779,PNBE MLDT EXPRE,PATNA JN       ,MALDA TOWN     ,399
780,GRAND TRUNK EXP,CHENNAI CENTRAL,NEW DELHI      ,2182
781,SADHBHAWNA EXP ,DELHI          ,RAXAUL JN      ,1236
782,SINA   BAHL    ,SRINAGAR       ,BANIHAL        ,79
783,SDAH RPH EXP   ,SEALDAH        ,RAMPUR HAT     ,226
784,BGP  GARIB RATH,BHAGALPUR      ,ANAND VIHAR TRM,1207
785,RDP ANVT LINK E,RADHIKAPUR     ,ANAND VIHAR TRM,1367
786,DEE INTERCITY  ,BIKANER JN     ,DELHI S ROHILLA,458
787,CAPE RMM EXP   ,KANYAKUMARI    ,RAMESWARAM     ,407
788,NAGPUR DURONTO ,MUMBAI CST     ,NAGPUR         ,837
789,JP MADRAS EXPRE,JAIPUR         ,CHENNAI CENTRAL,2184
790,INBD JAT S F EX,INDORE JN BG   ,JAMMU TAWI     ,1408
791,HW AII EXP     ,HARIDWAR JN    ,AJMER JN       ,672
792,ANVT CNB EXP   ,ANAND VIHAR TRM,KANPUR CENTRAL ,479
793,HWH NDLS YUVA E,HOWRAH JN      ,NEW DELHI      ,1447
794,TESTA TORSA EXP,NEW ALIPURDUAR ,SEALDAH        ,716
795,BDTS BGKT EXP  ,BANDRA TERMINUS,BHAGAT KI KOTHI,931
796,KARMABHOOMI EXP,KAMAKHYA       ,LOKMANYATILAK T,2940
797,MAS SHM EXP    ,CHENNAI CENTRAL,SHALIMAR       ,1660
798,BZA SNSI EXP   ,VIJAYAWADA JN  ,SAINAGAR SHIRDI,1127
799,VSKP DIGHA EXP ,VISAKHAPATNAM  ,DIGHA FLAG STN ,929
800,GOA EXPRESS    ,H NIZAMUDDIN   ,VASCO DA GAMA  ,2201
801,GORAKDAM EXPRES,HISAR          ,GORAKHPUR JN   ,964
802,HWH SURI EXP   ,HOWRAH JN      ,SIURI          ,211
803,SLN ADI EXP    ,SULTANPUR      ,AHMEDABAD JN   ,1559
804,PURI SURAT EXP ,PURI           ,SURAT          ,1754
805,DURONTO EXPRESS,PATNA JN       ,SHALIMAR       ,546
806,NAVYUG EXPRESS ,JAMMU TAWI     ,MANGALORE CNTL ,3609
807,HWH JSM EXP    ,HOWRAH JN      ,JAISALMER      ,2245
808,LOK SHAKTI EXP ,AHMEDABAD JN   ,BANDRA TERMINUS,481
809,BBS JAN SHATABD,BHUBANESWAR    ,HOWRAH JN      ,439
810,YPR BIWEEKLY EX,VASCO DA GAMA  ,YESVANTPUR JN  ,700
811,SC SNSI EXP    ,SECUNDERABAD JN,SAINAGAR SHIRDI,776
812,JBP SOMNATH EXP,JABALPUR       ,SOMNATH        ,1570
813,BANGALORE MAIL ,CHENNAI CENTRAL,BANGALORE CY JN,362
814,BPL INTERCITY  ,GWALIOR        ,BHOPAL  JN     ,485
815,YPR LKO EXP    ,YESVANTPUR JN  ,LUCKNOW NR     ,2334
816,LTT HBJ SUP SPL,LOKMANYATILAK T,HABIBGANJ      ,821
817,VANCHINAD EXP  ,TRIVANDRUM CNTL,ERNAKULAM JN   ,220
818,MAVELI EXPRESS ,TRIVANDRUM CNTL,MANGALORE CNTL ,619
819,LALBAGH EXPRESS,CHENNAI CENTRAL,BANGALORE CY JN,362
820,UDYOGKARMI EXP ,VALSAD         ,KANPUR CENTRAL ,1305
821,JP CDG INTERCIT,JAIPUR         ,CHANDIGARH     ,593
822,GURUDEV EXPRESS,SHALIMAR       ,NAGERCOIL JN   ,2584
823,HOWRAH EXP     ,SAI P NILAYAM  ,HOWRAH JN      ,1763
824,CDG NDLS SHTBDI,CHANDIGARH     ,NEW DELHI      ,266
825,ASR HW JNSHTBDI,AMRITSAR JN    ,HARIDWAR JN    ,407
826,KANNUR  EXP    ,BANGALORE CY JN,KANNUR         ,635
827,CNB JAT EXP    ,KANPUR CENTRAL ,JAMMU TAWI     ,1017
828,PALANI MAS EXP ,PALANI         ,CHENNAI CENTRAL,551
829,TIRUNELVELI EXP,TIRUCHCHIRAPALI,TIRUNELVELI    ,317
830,DAULADHAR EXP  ,DELHI          ,PATHANKOT      ,496
831,CPR DLI EXP    ,CHHAPRA        ,DELHI          ,1000
832,DLI PTK EXP    ,DELHI          ,PATHANKOT      ,554
833,PALLAVAN EXP   ,KARAIKKUDI JN  ,CHENNAI EGMORE ,426
834,HAZARDUARI EXP ,LALGOLA        ,KOLKATA        ,223
835,GKP LTT EXP    ,GORAKHPUR JN   ,LOKMANYATILAK T,1713
836,ISPAT EXPRESS  ,TITLAGARH      ,HOWRAH JN      ,745
837,NJP MAS EXPRESS,NEW JALPAIGURI ,CHENNAI CENTRAL,2270
838,DEE UHP AC SUP ,DELHI S ROHILLA,UDHAMPUR       ,631
839,KURJ NZM EXP   ,KHAJURAHO      ,H NIZAMUDDIN   ,604
840,DANAPUR HWH EXP,DANAPUR        ,HOWRAH JN      ,541
841,JBP JANSHATABDI,HABIBGANJ      ,JABALPUR       ,331
842,KYQ CAPITAL EXP,DANAPUR        ,KAMAKHYA       ,980
843,BDTS GARIB RATH,H NIZAMUDDIN   ,BANDRA TERMINUS,1366
844,PURI GARIB RATH,YESVANTPUR JN  ,PURI           ,1503
845,REWA EXPRESS   ,INDORE JN BG   ,REWA           ,812
846,DDN BSB EXPRESS,DEHRADUN       ,VARANASI JN    ,846
847,VSKP MTM PASS  ,VISAKHAPATNAM  ,MACHILIPATNAM  ,372
848,LKO ANVT SPL   ,LUCKNOW NR     ,ANAND VIHAR TRM,480
849,KYQ GYA WKLY EX,KAMAKHYA       ,GAYA JN        ,1091
850,NETRAVATHI EXP ,TRIVANDRUM CNTL,LOKMANYATILAK T,1804
851,KONKAN KANYA EX,MADGAON        ,MUMBAI CST     ,765
852,TRIBENI EXPRESS,BARWADIH JN    ,BAREILLY       ,862
853,NANDAN KANAN EX,NEW DELHI      ,PURI           ,1804
854,CNB GARIB RATH ,KATHGODAM      ,KANPUR CENTRAL ,462
855,ASR AJMER EXP  ,AMRITSAR JN    ,AJMER JN       ,1007
856,DIKSHABHOOMI EX,C SHAHUMHARAJ T,DHANBAD JN     ,2967
857,UTTARANCHAL EXP,DEHRADUN       ,OKHA           ,1680
858,JP INDB EXPRESS,JAIPUR         ,INDORE JN BG   ,599
859,SBC SMET EXP   ,BANGALORE CY JN,SHIMOGA TOWN   ,274
860,DBRG JHAJHA EXP,DIBRUGARH      ,JHAJHA         ,1710
861,BIHAR S KRANTI ,NEW DELHI      ,DARBHANGA JN   ,1174
862,JP BDTS SUP EXP,JAIPUR         ,BANDRA TERMINUS,1148
863,SARAIGHAT EXP  ,GUWAHATI       ,HOWRAH JN      ,1020
864,MATSYAGANDHA EX,LOKMANYATILAK T,MANGALORE CNTL ,1186
865,BDL LKO INTRCTY,VINDHYACHAL    ,LUCKNOW NR     ,284
866,HLZ MAS SUP EXP,HALDIA         ,CHENNAI CENTRAL,1661
867,SRC AII EXPRESS,SANTRAGACHI JN ,AJMER JN       ,2006
868,SURYANAGARI EXP,BANDRA TERMINUS,JODHPUR JN     ,935
869,MLDT HWH INT EX,MALDA TOWN     ,HOWRAH JN      ,340
870,HWH KIR EXPRESS,HOWRAH JN      ,KATIHAR JN     ,422
871,DDN INDB EXP   ,DEHRADUN       ,INDORE JN BG   ,1179
872,DNR SBG SPL    ,DANAPUR        ,SAHIBGANJ JN   ,306
873,LJN GARIB RATH ,BHOPAL  JN     ,LUCKNOW NE     ,585
874,DHAULADHAR EXP ,PATHANKOT      ,DELHI          ,496
875,CHD CHRM PGR   ,CHANDIA ROAD   ,CHIRMIRI       ,214
876,NDLS JANSHATABD,DEHRADUN       ,NEW DELHI      ,305
877,UDZ JP EXP     ,UDAIPUR CITY   ,JAIPUR         ,435
878,BGKT VSKP EXP  ,BHAGAT KI KOTHI,VISAKHAPATNAM  ,2069
879,DOON EXXPRESS  ,KOTDWARA       ,HOWRAH JN      ,1461
880,UBL CHENNAI EXP,HUBLI JN       ,CHENNAI CENTRAL,834
881,INDORE DURONTO ,MUMBAI CENTRAL ,INDORE JN BG   ,829
882,MACHILIPTNM EXP,SECUNDERABAD JN,MACHILIPATNAM  ,431
883,KRBA VSKP EXP  ,KORBA          ,VISAKHAPATNAM  ,731
884,HOWRAH SUP EXP ,MUMBAI CST     ,HOWRAH JN      ,1968
885,AMARAVATI EXP  ,HUBLI JN       ,VIJAYAWADA JN  ,693
886,HWH CSTM EXPRES,HOWRAH JN      ,MUMBAI CST     ,1968
887,VADODARA EXP   ,VADODARA JN    ,MUMBAI CENTRAL ,392
888,PUNE ERS SUP EX,PUNE JN        ,ERNAKULAM JN   ,1667
889,BLACKDIAMOND EX,DHANBAD JN     ,HOWRAH JN      ,271
890,UBL MAS EXP    ,HUBLI JN       ,CHENNAI CENTRAL,710
891,SVDK DEE SPL   ,SHMATA VD KATRA,DELHI S ROHILLA,668
892,PANCHVALLEY  PA,CHHINDWARA JN  ,INDORE JN BG   ,1545
893,RMM CHENNAI EXP,RAMESWARAM     ,CHENNAI EGMORE ,600
894,NGP SUR T F SPL,NAGPUR         ,SOLAPUR JN     ,880
895,DGHA HWH DURONT,DIGHA FLAG STN ,HOWRAH JN      ,186
896,TIRUCHENDUR EXP,CHENNAI EGMORE ,TIRUCHENDUR    ,779
897,BASAVA EXPRESS ,BAGALKOT       ,MYSORE JN      ,1004
898,KANCHANJANGA EX,SEALDAH        ,GUWAHATI       ,975
899,BGY  BBS EXPRES,BANGRIPOSI     ,BHUBANESWAR    ,313
900,NDLS PDY EXP   ,NEW DELHI      ,PUDUCHERRY     ,2384
901,PUNE BHUJ EXP  ,PUNE JN        ,BHUJ           ,993
902,MAURYA EXP     ,HATIA          ,GORAKHPUR JN   ,854
903,BKN GHY EXPRESS,BIKANER JN     ,GUWAHATI       ,2332
904,HTE YPR EXPRESS,HATIA          ,YESVANTPUR JN  ,1904
905,SNSI CCT EXP   ,SAINAGAR SHIRDI,KAKINADA TOWN  ,1339
906,AMI PUNE EXP   ,AMRAVATI       ,PUNE JN        ,821
907,ALD ADI EXP    ,ALLAHABAD JN   ,AHMEDABAD JN   ,1483
908,HYB AII SUP EXP,HYDERABAD DECAN,AJMER JN       ,1711
909,RNC GARIBNWAZ E,RANCHI         ,AJMER JN       ,1678
910,YPR TATA EXP   ,YESVANTPUR JN  ,TATANAGAR JN   ,2441
911,JP DURG EXP    ,JAIPUR         ,DURG           ,1263
912,MAS DOUBLE DECK,BANGALORE CY JN,CHENNAI CENTRAL,362
913,MYSORE  EXP    ,TUTICORIN      ,MYSORE JN      ,783
914,SADBHAWNA EXP  ,RAXAUL JN      ,DELHI          ,1253
915,DEE SVDK SPL   ,DELHI S ROHILLA,SHMATA VD KATRA,668
916,SHAHEED EXPRESS,JAYNAGAR       ,AMRITSAR JN    ,1654
917,PNBE BSP EXPRES,PATNA JN       ,BILASPUR JN    ,969
918,CDG MDU SF EXP ,CHANDIGARH     ,MADURAI JN     ,3108
919,TIRUPATHI EXP  ,BANGALORE CY JN,TIRUPATI       ,337
920,HIMALYAN  QUEEN,SIMLA          ,KALKA          ,96
921,AMARAVATHI EXP ,HOWRAH JN      ,VASCO DA GAMA  ,2160
922,REWA RJT SUP EX,REWA           ,RAJKOT JN      ,1601
923,PRDP SRC SF EXP,PARADIP        ,SANTRAGACHI JN ,487
924,OKHA ERS EXPRES,OKHA           ,ERNAKULAM JN   ,2557
925,MAU ANVT EXPRES,MAU JN         ,ANAND VIHAR TRM,833
926,PURI SHM SF EXP,PURI           ,SHALIMAR       ,500
927,LTT SHALIMAR EX,LOKMANYATILAK T,SHALIMAR       ,1950
928,SGNR NED EXPRES,SHRI GANGANAGAR,H SAHIB NANDED ,1965
929,BME GHY EXPRESS,BARMER         ,GUWAHATI       ,2473
930,BAHL  SINA     ,BANIHAL        ,SRINAGAR       ,79
931,KRDL  VSKP  PAS,KIRANDUL       ,VISAKHAPATNAM  ,472
932,DNR CAPITAL EXP,KAMAKHYA       ,DANAPUR        ,980
933,AGC KOAA EXP   ,AGRA CANTT     ,KOLKATA        ,1461
934,NZB  LTT EXP   ,NIZAMABAD      ,LOKMANYATILAK T,705
935,TEN BILASPUR EX,TIRUNELVELI    ,BILASPUR JN    ,2505
936,SWARNA J RAJ EX,AHMEDABAD JN   ,NEW DELHI      ,934
937,SHM UDZ EXPRESS,SHALIMAR       ,UDAIPUR CITY   ,1883
938,ROU BBS INT EXP,ROURKELA       ,BHUBANESWAR    ,419
939,NGP CSTM DURONT,NAGPUR         ,MUMBAI CST     ,837
940,BBS RMM EXPRESS,BHUBANESWAR    ,RAMESWARAM     ,1892
941,SACHKHAND EXP  ,H SAHIB NANDED ,AMRITSAR JN    ,2081
942,SHM GKP EXPRESS,SHALIMAR       ,GORAKHPUR JN   ,1050
943,DLI CPR EXP    ,DELHI          ,CHHAPRA        ,1000
944,YOGA EXPRESS   ,HARIDWAR JN    ,AHMEDABAD JN   ,1207
945,AHMEDABAD EXP  ,C SHAHUMHARAJ T,AHMEDABAD JN   ,961
946,LALMATI EXPRESS,PURULIA JN     ,HOWRAH JN      ,340
947,KYQ PURI EXPRES,KAMAKHYA       ,PURI           ,1572
948,JU HWH SUPFAST ,JODHPUR JN     ,HOWRAH JN      ,1813
949,DURG AII EXP   ,DURG           ,AJMER JN       ,1403
950,KRISHNA EXPRESS,TIRUPATI       ,ADILABAD       ,1228
951,NED SGNR EXPRES,H SAHIB NANDED ,SHRI GANGANAGAR,1965
952,BSP PUNE SPL   ,BILASPUR JN    ,PUNE JN        ,1300
953,SWARNA SHTBDI  ,AMRITSAR JN    ,NEW DELHI      ,448
954,RAJKOT EXPRESS ,SECUNDERABAD JN,RAJKOT JN      ,1478
955,KOAA ANVT EXP  ,KOLKATA        ,ANAND VIHAR TRM,1532
956,GKP YPR EXPRESS,GORAKHPUR JN   ,YESVANTPUR JN  ,2535
957,TRISHATABDI EXP,NAGPUR         ,INDORE JN BG   ,652
958,HIRAKHAND EXP  ,JAGDALPUR      ,BHUBANESWAR    ,785
959,MANGALORE MAIL ,CHENNAI CENTRAL,MANGALORE CNTL ,889
960,MADGAON EXPRESS,ERNAKULAM JN   ,MADGAON        ,850
961,SUVIDHA AC EXP ,MUMBAI CST     ,PATNA JN       ,1710
962,KIR TATA LNK EX,KATIHAR JN     ,TATANAGAR JN   ,600
963,DURG ABKP EX PA,DURG           ,AMBIKAPUR      ,469
964,NDLS CDG SHTBDI,NEW DELHI      ,CHANDIGARH     ,266
965,HAPA MADGAON EX,HAPA           ,MADGAON        ,1531
966,BDTS BHUJ EXP  ,BANDRA TERMINUS,BHUJ           ,839
967,MFP YPR EXP    ,MUZAFFARPUR JN ,YESVANTPUR JN  ,2733
968,GONDIA BJU EXP ,GONDIA JN      ,BARAUNI JN     ,1523
969,DIKSHABHUMI EXP,DHANBAD JN     ,C SHAHUMHARAJ T,2968
970,GAYA HWH EXPRES,GAYA JN        ,HOWRAH JN      ,654
971,UDZ INDB EXPRES,UDAIPUR CITY   ,INDORE JN BG   ,479
972,PURI GHY EXPRES,PURI           ,GUWAHATI       ,1522
973,SEALDAH RJDHANI,NEW DELHI      ,SEALDAH        ,1454
974,PRR KGP EXP    ,PURULIA JN     ,KHARAGPUR JN   ,208
975,REWA JBP PASS  ,REWA           ,JABALPUR       ,239
976,YPR LUCKNOW EXP,YESVANTPUR JN  ,LUCKNOW NR     ,2553
977,JTTN INTERCITY ,KAMAKHYA       ,DIBRUGARH      ,560
978,GHY GARIB RATH ,KOLKATA        ,GUWAHATI       ,1027
979,JALIANWALAB EXP,SEALDAH        ,AMRITSAR JN    ,1894
980,SHM SC AC  EXP ,SHALIMAR       ,SECUNDERABAD JN,1580
981,AGRA SUPER FAST,AHMEDABAD JN   ,AGRA FORT      ,867
982,BHAGYANAGAR EXP,BALHARSHAH     ,SECUNDERABAD JN,367
983,MARU SAGAR EXP ,AJMER JN       ,ERNAKULAM JN   ,2859
984,TPTY CBE  EXP  ,TIRUPATI       ,COIMBATORE JN  ,472
985,MAILADUTURAI EX,MYSORE JN      ,MAYILADUTURAI J,680
986,HOWRAH MAIL    ,CHENNAI CENTRAL,HOWRAH JN      ,1662
987,HWH BLGT EXP   ,HOWRAH JN      ,BALURGHAT      ,437
988,CORBET PRK LINK,RAMNAGAR       ,JAISALMER      ,1217
989,VSKP MAS SF EXP,VISAKHAPATNAM  ,CHENNAI CENTRAL,781
990,MANDOVI EXPRESS,MADGAON        ,MUMBAI CST     ,765
991,DURONTO AC EXP ,SECUNDERABAD JN,LOKMANYATILAK T,773
992,NAGPUR PUNE EXP,NAGPUR         ,PUNE JN        ,889
993,LTT HW AC SUP  ,LOKMANYATILAK T,HARIDWAR JN    ,1771
994,BSB LKO EXP    ,VARANASI JN    ,LUCKNOW NR     ,302
995,HWH DURONTO EXP,NEW DELHI      ,HOWRAH JN      ,1446
996,PIT BDTS SF EXP,PALITANA       ,BANDRA TERMINUS,785
997,BHOPAL  EXPRESS,H NIZAMUDDIN   ,HABIBGANJ      ,700
998,KASHI V EXPRESS,NEW DELHI      ,VARANASI JN    ,794
999,ST MFP EXPRESS ,SURAT          ,MUZAFFARPUR JN ,2138
1000,ERS KARAIKALEXP,ERNAKULAM JN   ,KARAIKAL       ,593
1001,SRIJAGANNATHEXP,HOWRAH JN      ,PURI           ,502
1002,KERALA EXPRESS ,NEW DELHI      ,TRIVANDRUM CNTL,3036
1003,HWH JMP EXPRESS,HOWRAH JN      ,JAMALPUR JN    ,467
1004,CPR LTT EXPRESS,CHHAPRA        ,LOKMANYATILAK T,1772
1005,HOOL EXPRESS   ,SIURI          ,HOWRAH JN      ,241
1006,PRASANTHI EXP  ,BANGALORE CY JN,BHUBANESWAR    ,1546
1007,BSP TPTY EXPRES,BILASPUR JN    ,TIRUPATI       ,1402
1008,VANANCHAL EXP  ,BHAGALPUR      ,RANCHI         ,561
1009,HARIDWAR EXP   ,BANDRA TERMINUS,HARIDWAR JN    ,1616
1010,SNSI SC EXP    ,SAINAGAR SHIRDI,SECUNDERABAD JN,776
1011,SUR PUNE PASS  ,SOLAPUR JN     ,PUNE JN        ,264
1012,PDY BBS EXPRESS,PUDUCHERRY     ,BHUBANESWAR    ,1424
1013,CDG JP INTERCIT,CHANDIGARH     ,JAIPUR         ,593
1014,BDTS BKN SUP EX,BANDRA TERMINUS,BIKANER JN     ,1212
1015,OKHA HOWRAH EXP,OKHA           ,HOWRAH JN      ,2586
1016,HSR ASR PSNGR  ,HISAR          ,AMRITSAR JN    ,346
1017,NDLS SHATABDI E,HABIBGANJ      ,NEW DELHI      ,707
1018,HWH PDY EXP    ,HOWRAH JN      ,PUDUCHERRY     ,1920
1019,BETWA EXPRESS  ,KANPUR CENTRAL ,DURG           ,885
1020,SAKET LINK EXP ,RAE BARELI JN  ,LOKMANYATILAK T,1502
1021,SC DBG EXPRESS ,SECUNDERABAD JN,DARBHANGA JN   ,1914
1022,HWH MKA PAS    ,HOWRAH JN      ,MOKAMEH JN     ,455
1023,UBL TIRUPATI PA,HUBLI JN       ,TIRUPATI       ,579
1024,VSG HOWRAH EXP ,VASCO DA GAMA  ,HOWRAH JN      ,2160
1025,PUSHPAK EXP    ,LUCKNOW NE     ,MUMBAI CST     ,1428
1026,CANNANORE EXP  ,ERNAKULAM JN   ,KANNUR         ,283
1027,VSKP SF EXP    ,PARADIP        ,VISAKHAPATNAM  ,554
1028,LJN BPL G R    ,LUCKNOW NE     ,BHOPAL  JN     ,585
1029,NZB PUNE PASS  ,NIZAMABAD      ,PUNE JN        ,773
1030,UDZ RATLAM EXP ,UDAIPUR CITY   ,RATLAM JN      ,303
1031,JHELUM EXPRESS ,JAMMU TAWI     ,PUNE JN        ,2172
1032,JAIPUR DURONTO ,MUMBAI CENTRAL ,JAIPUR         ,1159
1033,PNBE BBS SPL   ,PATNA JN       ,BHUBANESWAR    ,865
1034,BKN INTERCITY  ,DELHI S ROHILLA,BIKANER JN     ,458
1035,SVDK YPR PREMIU,SHMATA VD KATRA,YESVANTPUR JN  ,3196
1036,SWATANTRA S EXP,DARBHANGA JN   ,NEW DELHI      ,1166
1037,BHOPAL PASSENGE,INDORE JN BG   ,BHOPAL  JN     ,263
1038,BRAHMPUTRA MAIL,DELHI          ,DIBRUGARH      ,2588
1039,INDB JBP EXP   ,INDORE JN BG   ,JABALPUR       ,555
1040,GUWAHATI MS EXP,GUWAHATI       ,CHENNAI EGMORE ,2790
1041,NJP UDZ EXPRESS,NEW JALPAIGURI ,UDAIPUR CITY   ,2236
1042,HAPA INTERCITY ,SURAT          ,HAPA           ,552
1043,ST AMRAVATI PAS,SURAT          ,AMRAVATI       ,563
1044,RAPTI SAGAR EXP,BARAUNI JN     ,ERNAKULAM JN   ,3441
1045,AII CDG G RATH ,AJMER JN       ,CHANDIGARH     ,740
1046,HAPA EXPRESS   ,TIRUNELVELI    ,HAPA           ,2730
1047,RNC NDLS RAJ EX,RANCHI         ,NEW DELHI      ,1341
1048,BHOPAL SHTBDI  ,NEW DELHI      ,HABIBGANJ      ,707
1049,U A TOOFAN EXP ,SHRI GANGANAGAR,HOWRAH JN      ,1978
1050,SINHAGAD EXP   ,PUNE JN        ,MUMBAI CST     ,192
1051,JAT HAPA EXP   ,JAMMU TAWI     ,HAPA           ,1992
1052,LKO YPR SUP    ,LUCKNOW NR     ,YESVANTPUR JN  ,2334
1053,HWH KORAPUT EXP,HOWRAH JN      ,JAGDALPUR      ,1163
1054,LTT VSKP SUP EX,LOKMANYATILAK T,VISAKHAPATNAM  ,1649
1055,BSB UDN EXP    ,VARANASI JN    ,UDHNA JN       ,1375
1056,GKP ASN EXPRESS,GORAKHPUR JN   ,ASANSOL JN     ,644
1057,NJP SMI EXPRESS,NEW JALPAIGURI ,SITAMARHI      ,537
1058,HBJ JANSHATABDI,JABALPUR       ,HABIBGANJ      ,331
1059,MALABAR EXP    ,TRIVANDRUM CNTL,MANGALORE CNTL ,634
1060,CWA RMO NGP PAS,CHHINDWARA JN  ,NAGPUR         ,148
1061,SRC PURI  SPL  ,SANTRAGACHI JN ,PURI           ,494
1062,PNBE GARIB RATH,KOLKATA        ,PATNA JN       ,534
1063,JU JSMSPL      ,JODHPUR JN     ,JAISALMER      ,294
1064,HIMALAYAN WHEEL,KURSEONG       ,TO KURSEONG    ,15
1065,SANTINIKETANEXP,BOLPUR S NIKTN ,HOWRAH JN      ,146
1066,PVR NZB PASS   ,PANDHARPUR     ,NIZAMABAD      ,535
1067,KYQ PUNE SPECIA,KAMAKHYA       ,PUNE JN        ,2888
1068,NGP BSL SUP EXP,NAGPUR         ,BHUSAVAL JN    ,604
