,train,source,dest,dist
258,KURJ UDZ EXP   ,KHAJURAHO      ,UDAIPUR CITY   ,1092
259,BPL RTM PASS   ,BHOPAL  JN     ,RATLAM JN      ,280
260,BUBNESWR RJDHNI,NEW DELHI      ,BHUBANESWAR    ,1800
261,RKSH SGNR EXP  ,RISHIKESH      ,SHRI GANGANAGAR,508
262,BSP CHRM PASS  ,BILASPUR JN    ,CHIRMIRI       ,238
263,INDB AII LINK E,INDORE JN BG   ,JAIPUR         ,685
264,BKN JSM EXPRESS,BIKANER JN     ,JAISALMER      ,319
265,MAS SRC AC EXP ,CHENNAI CENTRAL,SANTRAGACHI JN ,1655
266,ATTARI DLI EXP ,ATARI          ,DELHI          ,472
267,LALGOLA PASS   ,SEALDAH        ,LALGOLA        ,227
268,HWH YPR EXPRESS,HOWRAH JN      ,YESVANTPUR JN  ,1963
269,MYS SNSI EXPRES,MYSORE JN      ,SAINAGAR SHIRDI,1304
270,ANVT BGP G RATH,ANAND VIHAR TRM,BHAGALPUR      ,1207
271,BDTS KANPUR EXP,BANDRA TERMINUS,KANPUR CENTRAL ,1613
272,CPR INTERCITY  ,MANDUADIH      ,CHHAPRA        ,231
273,ADI BGKT EXPRES,AHMEDABAD JN   ,BHAGAT KI KOTHI,480
274,BWIP BBS LINK E,JUNAGARH ROAD  ,BHUBANESWAR    ,653
275,KOAA  GKP  EXP ,KOLKATA        ,GORAKHPUR JN   ,883
276,KOL GARIB RATH ,GUWAHATI       ,KOLKATA        ,1027
277,TPTY DOUBLE DEC,KACHEGUDA      ,TIRUPATI       ,636
278,CDG AII G RATH ,CHANDIGARH     ,AJMER JN       ,740
279,NZM SC RJDHNI  ,H NIZAMUDDIN   ,SECUNDERABAD JN,1660
280,NZM JBP SF EXP ,H NIZAMUDDIN   ,JABALPUR       ,909
281,QLN  VSKP EXP  ,KOLLAM JN      ,VISAKHAPATNAM  ,1588
282,MYS BSB EXP    ,MYSORE JN      ,VARANASI JN    ,2706
283,BE BSB EXPRESS ,BAREILLY       ,VARANASI JN    ,559
284,NS  TPTY EXP   ,NARASAPUR      ,TIRUPATI       ,524
285,SARYUYAMUNA EXP,AMRITSAR JN    ,JAYNAGAR       ,1670
286,GURUVAYUR EXP  ,TRIVANDRUM CNTL,GURUVAYUR      ,303
287,JP  ALD EXPRESS,JAIPUR         ,ALLAHABAD JN   ,780
288,CSN BSL T F SPL,CHALISGAON JN  ,BHUSAVAL JN    ,117
289,SGRL PNBE LNK E,SINGRAULI      ,PATNA JN       ,481
290,VERAVAL PUNE EX,VERAVAL        ,PUNE JN        ,1066
291,JP CBE SUP EXP ,JAIPUR         ,COIMBATORE JN  ,2680
292,BSB GD INTERCIT,VARANASI JN    ,GONDA JN       ,256
293,MAS HUBLI EXP  ,CHENNAI CENTRAL,HUBLI JN       ,834
294,ERS PUNE EXPRES,ERNAKULAM JN   ,PUNE JN        ,1667
295,NS VSKP PASSR  ,NARASAPUR      ,VISAKHAPATNAM  ,300
296,HWH MLDT INT EX,HOWRAH JN      ,MALDA TOWN     ,340
297,DJ KGN NG TRAIN,DARJEELING     ,KURSEONG       ,31
298,KERLA S KRANTI ,CHANDIGARH     ,KOCHUVELI      ,3415
299,PAU PNBE EXP   ,PURNA JN       ,PATNA JN       ,1816
300,HW UHL LINK JSH,HARIDWAR JN    ,UNA HIMACHAL   ,368
301,BKN KCVL EXPRES,BIKANER JN     ,KOCHUVELI      ,3002
302,TPTY SRC SUP EX,TIRUPATI       ,SANTRAGACHI JN ,1611
303,HWH DBG EXPRESS,HOWRAH JN      ,DARBHANGA JN   ,536
304,MNGLA LKSDP EXP,H NIZAMUDDIN   ,ERNAKULAM JN   ,3066
305,PALNADU EXP    ,VIKARABAD JN   ,GUNTUR JN      ,353
306,DEE AII SF SPL ,DELHI S ROHILLA,AJMER JN       ,373
307,RAL SC FASTPASS,REPALLE        ,SECUNDERABAD JN,341
308,SBC FAST PSGN  ,HUBLI JN       ,BANGALORE CY JN,469
309,YERCAUD EXPRESS,CHENNAI CENTRAL,ERODE JN       ,396
310,PNBE JANSHATABD,RANCHI         ,PATNA JN       ,411
311,RAJSTHN S KRANT,DELHI S ROHILLA,JODHPUR JN     ,616
312,AF AII INTERCIT,AGRA FORT      ,AJMER JN       ,376
313,AMAR NATH EXP  ,GORAKHPUR JN   ,JAMMU TAWI     ,1248
314,VISWABHARTI PAS,RAMPUR HAT     ,HOWRAH JN      ,219
315,NDLS DURONTO EX,MUMBAI CENTRAL ,NEW DELHI      ,1384
316,BME YPR AC EXP ,BARMER         ,YESVANTPUR JN  ,2251
317,SDAH BSB EXP   ,SEALDAH        ,VARANASI JN    ,871
318,INTERCITY EXPRE,JABALPUR       ,HABIBGANJ      ,331
319,BBS LTT SF EXP ,BHUBANESWAR    ,LOKMANYATILAK T,1788
320,GHY SBC EXPRESS,GUWAHATI       ,BANGALORE CY JN,2992
321,GOLDENTEMPLE ML,MUMBAI CENTRAL ,AMRITSAR JN    ,1891
322,CHRM BSP PASS  ,CHIRMIRI       ,BILASPUR JN    ,653
323,YPRKYQ AC EXP  ,YESVANTPUR JN  ,KAMAKHYA       ,3025
324,DBRG KOAA EXP  ,DIBRUGARH      ,KOLKATA        ,1583
325,JAT MURI ROU EX,JAMMU TAWI     ,ROURKELA       ,2158
326,NCJ MUMBAI EXP ,NAGERCOIL JN   ,MUMBAI CST     ,1949
327,MUMBAI RAJDHANI,NEW DELHI      ,MUMBAI CENTRAL ,1384
328,LJN BJU EXP    ,LUCKNOW NE     ,BARAUNI JN     ,674
329,NIZAMUDDIN  EXP,TRIVANDRUM CNTL,H NIZAMUDDIN   ,3163
330,PURI DURG EXP  ,PURI           ,DURG           ,796
331,BSB RNC EXPRESS,VARANASI JN    ,RANCHI         ,575
332,LINK DAKSIN EXP,VISAKHAPATNAM  ,H NIZAMUDDIN   ,2097
333,HAPA TEN EXPRES,HAPA           ,TIRUNELVELI    ,2730
334,NGP JAIPUR EXP ,NAGPUR         ,JAIPUR         ,1345
335,BGP RNC EXPRESS,BHAGALPUR      ,RANCHI         ,510
336,SC SHM AC  EXP ,SECUNDERABAD JN,SHALIMAR       ,1580
337,DURG JAT EXPRES,DURG           ,JAMMU TAWI     ,1936
338,BGP LTT EXPRESS,BHAGALPUR      ,LOKMANYATILAK T,1916
339,GAD NGP EXP    ,GEVRA ROAD     ,NAGPUR         ,513
340,SMI NJP EXPRESS,SITAMARHI      ,NEW JALPAIGURI ,537
341,KOTA JANSHTBDI ,H NIZAMUDDIN   ,KOTA JN        ,458
342,HWH PURI G RATH,HOWRAH JN      ,PURI           ,502
343,YPR S KRANTI EX,CHANDIGARH     ,YESVANTPUR JN  ,2883
344,JP NGP EXP     ,JAIPUR         ,NAGPUR         ,1345
345,BL HARIDWAR EXP,VALSAD         ,HARIDWAR JN    ,1433
346,U ABHATOOFAN EX,HOWRAH JN      ,SHRI GANGANAGAR,1978
347,SANGAM EXPRESS ,ALLAHABAD JN   ,MEERUT CITY    ,639
348,UDYAN EXP      ,BANGALORE CY JN,MUMBAI CST     ,1153
349,AJMER INTERCITY,AHMEDABAD JN   ,AJMER JN       ,492
350,M P SMPRK KRNTI,H NIZAMUDDIN   ,JABALPUR       ,909
351,NZM LTT AC EXP ,H NIZAMUDDIN   ,LOKMANYATILAK T,1521
352,NARAYANADRI EXP,SECUNDERABAD JN,TIRUPATI       ,661
353,CSTM AMRAVATI E,MUMBAI CST     ,AMRAVATI       ,672
354,GRD DNR LINK   ,GIRIDIH        ,DANAPUR        ,298
355,SANTRAGACHI EXP,AJMER JN       ,SANTRAGACHI JN ,2009
