,nodes,lat,lon
259,VILLUPURAMJN,11.9426284,79.4995635
260,CHITTOOR,13.217176,79.1003289
261,NAGPUR,21.1458004,79.0881546
262,KURNOOLCITY,15.8281257,78.0372792
263,BARAUNIJN,25.4620441,85.9875962
264,MIRAJJN,16.8203641,74.6387623
265,BIDAR,17.9148799,77.5046101
266,SILGHATTOWN,26.6032277,92.9288323
267,MANDUADIH,25.2981381,82.9622537
268,DEHRADUN,30.3164945,78.0321918
269,SITAMARHI,26.5952476,85.4808393
270,RAJKOTJN,22.3117482,70.8027354
271,JASIDIHJN,24.5147788,86.6442623
272,CSHAHUMHARAJT,16.70244,74.237807
273,PRAYAG,28.0556534,80.8571521
274,NAHARLAGUN,27.0985774,93.6948869
275,RAMPURHAT,24.1813784,87.7812524
276,JUNAGARHROAD,21.9315623,83.6916699
277,JAMNAGAR,22.4707019,70.05773
278,GWALIOR,26.2182871,78.1828308
279,AHMEDABADMG,23.017406,72.494586
280,KOTAJN,25.2237865,75.8807884
281,MADGAON,15.2832187,73.986191
282,MALDATOWN,25.0108408,88.1410967
283,BALURGHAT,25.2372834,88.7830612
284,RAJENDRANAGART,12.3346198,76.661927
285,RAEBARELIJN,26.2345298,81.2408689
286,HALDIBARI,26.3345442,88.7806578
287,VADODARAJN,22.2993466,73.2175057
288,RENIGUNTAJN,13.6366028,79.5065922
289,ALIPURDUARJN,26.5487403,89.5318124
290,SOLAPURJN,17.6644233,75.8929702
291,LOKMANYATILAKT,19.0695301,72.8919834
292,SIURI,23.9040878,87.524748
293,SITAPURCITY,27.5839037,80.666356
294,JAMMUTAWI,32.7060106,74.8800551
295,MUMBAICST,18.9426192,72.8351657
296,KANPURCENTRAL,26.4180642,80.4033671
297,BAREILLY,28.3670355,79.4304381
298,SAHIBGANJJN,25.2409962,87.6340595
299,ALLAHABADJN,25.4455992,81.8259553
300,BIKANERJN,28.0145575,73.3159695
301,NIZAMABAD,18.6725047,78.0940867
302,BHAGATKIKOTHI,26.2582954,73.0167426
303,TANAKPUR,29.0722375,80.1065646
304,CHAKRADHARPUR,22.6765454,85.6254997
305,BARWADIHJN,23.843717,84.116456
306,RISHIKESH,30.0869281,78.2676116
307,RATLAMJN,23.3405576,75.0504837
308,ADRSHNGRDELHI,28.716557,77.170223
